,matchday,date,home_team,final_result,away_team,home_goals,away_goals,winner
961,20,1967-01-28,Karlsruher SC,2-0,Borussia Dortmund,2,0,0
962,20,1967-01-28,1. FC Nürnberg,0-4,FC Schalke 04,0,4,2
963,20,1967-01-28,Bor. Mönchengladbach,4-2,Hamburger SV,4,2,0
964,16,1967-02-04,Borussia Dortmund,3-1,Eintracht Frankfurt,3,1,0
965,21,1967-02-11,Eintracht Braunschweig,3-0,Eintracht Frankfurt,3,0,0
966,21,1967-02-11,MSV Duisburg,1-2,TSV 1860 München,1,2,2
967,21,1967-02-11,Bayern München,2-2,Karlsruher SC,2,2,1
968,21,1967-02-11,Fortuna Düsseldorf,1-0,Hannover 96,1,0,0
969,21,1967-02-11,1. FC Kaiserslautern,1-1,1. FC Nürnberg,1,1,1
970,21,1967-02-11,Hamburger SV,1-1,Rot-Weiss Essen,1,1,1
971,21,1967-02-11,Borussia Dortmund,3-2,Bor. Mönchengladbach,3,2,0
972,21,1967-02-11,VfB Stuttgart,2-2,1. FC Köln,2,2,1
973,21,1967-02-11,FC Schalke 04,0-1,Werder Bremen,0,1,2
974,22,1967-02-18,Karlsruher SC,3-2,Fortuna Düsseldorf,3,2,0
975,22,1967-02-18,1. FC Köln,1-1,MSV Duisburg,1,1,1
976,22,1967-02-18,Bor. Mönchengladbach,1-2,Bayern München,1,2,2
977,22,1967-02-18,Rot-Weiss Essen,1-1,Borussia Dortmund,1,1,1
978,22,1967-02-18,Eintracht Braunschweig,1-1,VfB Stuttgart,1,1,1
979,22,1967-02-18,1. FC Nürnberg,1-0,Hamburger SV,1,0,0
980,22,1967-02-18,TSV 1860 München,0-2,FC Schalke 04,0,2,2
981,22,1967-02-18,Werder Bremen,1-1,1. FC Kaiserslautern,1,1,1
982,22,1967-02-18,Eintracht Frankfurt,3-3,Hannover 96,3,3,1
983,23,1967-02-25,VfB Stuttgart,3-0,Eintracht Frankfurt,3,0,0
984,23,1967-02-25,Bayern München,4-1,Rot-Weiss Essen,4,1,0
985,23,1967-02-25,Hannover 96,3-1,Karlsruher SC,3,1,0
986,23,1967-02-25,MSV Duisburg,0-0,Eintracht Braunschweig,0,0,1
987,23,1967-02-25,1. FC Kaiserslautern,0-3,TSV 1860 München,0,3,2
988,23,1967-02-25,FC Schalke 04,1-0,1. FC Köln,1,0,0
989,23,1967-02-25,Fortuna Düsseldorf,2-2,Bor. Mönchengladbach,2,2,1
990,23,1967-02-25,Hamburger SV,1-1,Werder Bremen,1,1,1
991,23,1967-02-25,Borussia Dortmund,0-1,1. FC Nürnberg,0,1,2
992,24,1967-03-04,TSV 1860 München,2-0,Hamburger SV,2,0,0
993,24,1967-03-04,1. FC Nürnberg,0-1,Bayern München,0,1,2
994,24,1967-03-04,Eintracht Frankfurt,5-1,Karlsruher SC,5,1,0
995,24,1967-03-04,1. FC Köln,2-1,1. FC Kaiserslautern,2,1,0
996,24,1967-03-04,Rot-Weiss Essen,0-4,Fortuna Düsseldorf,0,4,2
997,24,1967-03-04,Eintracht Braunschweig,1-0,FC Schalke 04,1,0,0
998,24,1967-03-04,Bor. Mönchengladbach,2-0,Hannover 96,2,0,0
999,24,1967-03-04,VfB Stuttgart,1-3,MSV Duisburg,1,3,2
1000,24,1967-03-04,Werder Bremen,2-1,Borussia Dortmund,2,1,0
1001,25,1967-03-11,Karlsruher SC,3-3,Bor. Mönchengladbach,3,3,1
1002,25,1967-03-11,FC Schalke 04,2-0,VfB Stuttgart,2,0,0
1003,25,1967-03-11,Hannover 96,1-0,Rot-Weiss Essen,1,0,0
1004,25,1967-03-11,Bayern München,1-0,Werder Bremen,1,0,0
1005,25,1967-03-11,Fortuna Düsseldorf,2-2,1. FC Nürnberg,2,2,1
1006,25,1967-03-11,Hamburger SV,1-3,1. FC Köln,1,3,2
1007,25,1967-03-11,Borussia Dortmund,1-1,TSV 1860 München,1,1,1
1008,25,1967-03-11,1. FC Kaiserslautern,2-0,Eintracht Braunschweig,2,0,0
1009,25,1967-03-11,MSV Duisburg,0-0,Eintracht Frankfurt,0,0,1
1010,26,1967-03-18,Rot-Weiss Essen,3-1,Karlsruher SC,3,1,0
1011,26,1967-03-18,MSV Duisburg,3-0,FC Schalke 04,3,0,0
1012,26,1967-03-18,Eintracht Frankfurt,1-0,Bor. Mönchengladbach,1,0,0
1013,26,1967-03-18,Eintracht Braunschweig,2-0,Hamburger SV,2,0,0
1014,26,1967-03-18,1. FC Nürnberg,1-1,Hannover 96,1,1,1
1015,26,1967-03-18,1. FC Köln,1-1,Borussia Dortmund,1,1,1
1016,26,1967-03-18,VfB Stuttgart,0-1,1. FC Kaiserslautern,0,1,2
1017,26,1967-03-18,Werder Bremen,1-0,Fortuna Düsseldorf,1,0,0
1018,26,1967-03-18,TSV 1860 München,1-0,Bayern München,1,0,0
1019,16,1967-03-25,1. FC Köln,2-0,1. FC Nürnberg,2,0,0
1020,27,1967-04-01,Fortuna Düsseldorf,0-1,TSV 1860 München,0,1,2
1021,27,1967-04-01,Bayern München,2-0,1. FC Köln,2,0,0
1022,27,1967-04-01,Hannover 96,2-1,Werder Bremen,2,1,0
1023,27,1967-04-01,Hamburger SV,1-1,VfB Stuttgart,1,1,1
1024,27,1967-04-01,Karlsruher SC,0-1,1. FC Nürnberg,0,1,2
1025,27,1967-04-01,1. FC Kaiserslautern,0-0,MSV Duisburg,0,0,1
1026,27,1967-04-01,Bor. Mönchengladbach,4-3,Rot-Weiss Essen,4,3,0
1027,27,1967-04-01,FC Schalke 04,1-1,Eintracht Frankfurt,1,1,1
1028,27,1967-04-01,Borussia Dortmund,0-0,Eintracht Braunschweig,0,0,1
1029,28,1967-04-15,1. FC Nürnberg,1-0,Bor. Mönchengladbach,1,0,0
1030,28,1967-04-15,VfB Stuttgart,1-0,Borussia Dortmund,1,0,0
1031,28,1967-04-15,Eintracht Frankfurt,5-0,Rot-Weiss Essen,5,0,0
1032,28,1967-04-15,MSV Duisburg,2-1,Hamburger SV,2,1,0
1033,28,1967-04-15,1. FC Köln,2-0,Fortuna Düsseldorf,2,0,0
1034,28,1967-04-15,Werder Bremen,0-3,Karlsruher SC,0,3,2
1035,28,1967-04-15,TSV 1860 München,3-0,Hannover 96,3,0,0
1036,28,1967-04-15,FC Schalke 04,0-3,1. FC Kaiserslautern,0,3,2
1037,28,1967-04-15,Eintracht Braunschweig,5-2,Bayern München,5,2,0
1038,29,1967-04-22,Karlsruher SC,3-1,TSV 1860 München,3,1,0
1039,29,1967-04-22,Bayern München,1-1,VfB Stuttgart,1,1,1
1040,29,1967-04-22,Bor. Mönchengladbach,1-1,Werder Bremen,1,1,1
1041,29,1967-04-22,Hamburger SV,1-1,FC Schalke 04,1,1,1
1042,29,1967-04-22,Fortuna Düsseldorf,1-1,Eintracht Braunschweig,1,1,1
1043,29,1967-04-22,1. FC Kaiserslautern,1-1,Eintracht Frankfurt,1,1,1
1044,29,1967-04-22,Borussia Dortmund,4-1,MSV Duisburg,4,1,0
1045,29,1967-04-22,Rot-Weiss Essen,1-1,1. FC Nürnberg,1,1,1
1046,29,1967-04-22,Hannover 96,0-1,1. FC Köln,0,1,2
1047,30,1967-04-29,Werder Bremen,0-0,Rot-Weiss Essen,0,0,1
1048,30,1967-04-29,Eintracht Frankfurt,1-4,1. FC Nürnberg,1,4,2
1049,30,1967-04-29,VfB Stuttgart,3-1,Fortuna Düsseldorf,3,1,0
1050,30,1967-04-29,1. FC Köln,2-2,Karlsruher SC,2,2,1
1051,30,1967-04-29,MSV Duisburg,0-0,Bayern München,0,0,1
1052,30,1967-04-29,TSV 1860 München,4-3,Bor. Mönchengladbach,4,3,0
1053,30,1967-04-29,Eintracht Braunschweig,0-1,Hannover 96,0,1,2
1054,30,1967-04-29,1. FC Kaiserslautern,2-1,Hamburger SV,2,1,0
1055,30,1967-04-29,FC Schalke 04,1-4,Borussia Dortmund,1,4,2
1056,31,1967-05-13,Karlsruher SC,3-0,Eintracht Braunschweig,3,0,0
1057,31,1967-05-13,Fortuna Düsseldorf,1-5,MSV Duisburg,1,5,2
1058,31,1967-05-13,Bayern München,5-0,FC Schalke 04,5,0,0
1059,31,1967-05-13,Bor. Mönchengladbach,3-0,1. FC Köln,3,0,0
1060,31,1967-05-13,Hamburger SV,0-2,Eintracht Frankfurt,0,2,2
1061,31,1967-05-13,1. FC Nürnberg,2-1,Werder Bremen,2,1,0
1062,31,1967-05-13,Hannover 96,2-2,VfB Stuttgart,2,2,1
1063,31,1967-05-13,Rot-Weiss Essen,2-2,TSV 1860 München,2,2,1
1064,31,1967-05-13,Borussia Dortmund,2-1,1. FC Kaiserslautern,2,1,0
1065,32,1967-05-20,VfB Stuttgart,2-0,Karlsruher SC,2,0,0
1066,32,1967-05-20,Borussia Dortmund,7-0,Hamburger SV,7,0,0
1067,32,1967-05-20,FC Schalke 04,2-1,Fortuna Düsseldorf,2,1,0
1068,32,1967-05-20,1. FC Kaiserslautern,1-0,Bayern München,1,0,0
1069,32,1967-05-20,Werder Bremen,3-0,Eintracht Frankfurt,3,0,0
1070,32,1967-05-20,TSV 1860 München,1-2,1. FC Nürnberg,1,2,2
1071,32,1967-05-20,Eintracht Braunschweig,2-1,Bor. Mönchengladbach,2,1,0
1072,32,1967-05-20,1. FC Köln,2-1,Rot-Weiss Essen,2,1,0
1073,32,1967-05-20,MSV Duisburg,3-0,Hannover 96,3,0,0
1074,33,1967-05-27,Werder Bremen,2-4,TSV 1860 München,2,4,2
1075,33,1967-05-27,Bayern München,3-1,Hamburger SV,3,1,0
1076,33,1967-05-27,1. FC Nürnberg,1-1,1. FC Köln,1,1,1
1077,33,1967-05-27,Hannover 96,1-2,FC Schalke 04,1,2,2
1078,33,1967-05-27,Fortuna Düsseldorf,3-1,1. FC Kaiserslautern,3,1,0
1079,33,1967-05-27,Eintracht Frankfurt,3-3,Borussia Dortmund,3,3,1
1080,33,1967-05-27,Bor. Mönchengladbach,1-2,VfB Stuttgart,1,2,2
1081,33,1967-05-27,Rot-Weiss Essen,0-0,Eintracht Braunschweig,0,0,1
1082,33,1967-05-27,Karlsruher SC,3-0,MSV Duisburg,3,0,0
1083,34,1967-06-03,TSV 1860 München,2-1,Eintracht Frankfurt,2,1,0
1084,34,1967-06-03,Borussia Dortmund,4-0,Bayern München,4,0,0
1085,34,1967-06-03,1. FC Köln,4-1,Werder Bremen,4,1,0
1086,34,1967-06-03,Hamburger SV,2-1,Fortuna Düsseldorf,2,1,0
1087,34,1967-06-03,Eintracht Braunschweig,4-1,1. FC Nürnberg,4,1,0
1088,34,1967-06-03,1. FC Kaiserslautern,1-0,Hannover 96,1,0,0
1089,34,1967-06-03,VfB Stuttgart,1-0,Rot-Weiss Essen,1,0,0
1090,34,1967-06-03,FC Schalke 04,1-3,Karlsruher SC,1,3,2
1091,34,1967-06-03,MSV Duisburg,1-3,Bor. Mönchengladbach,1,3,2
1092,1,1967-08-18,MSV Duisburg,2-2,Borussia Dortmund,2,2,1
1093,1,1967-08-19,Werder Bremen,1-4,Hamburger SV,1,4,2
1094,1,1967-08-19,1. FC Kaiserslautern,2-1,Borussia Neunkirchen,2,1,0
1095,1,1967-08-19,Hannover 96,3-0,1. FC Köln,3,0,0
1096,1,1967-08-19,1. FC Nürnberg,2-0,Karlsruher SC,2,0,0
1097,1,1967-08-19,VfB Stuttgart,4-0,Eintracht Frankfurt,4,0,0
1098,1,1967-08-19,FC Schalke 04,3-4,Bor. Mönchengladbach,3,4,2
1099,1,1967-08-19,TSV 1860 München,1-0,Eintracht Braunschweig,1,0,0
1100,1,1967-08-19,Alemannia Aachen,0-4,Bayern München,0,4,2
1101,2,1967-08-26,Eintracht Frankfurt,5-3,Werder Bremen,5,3,0
1102,2,1967-08-26,Karlsruher SC,0-2,MSV Duisburg,0,2,2
1103,2,1967-08-26,Borussia Neunkirchen,2-2,1. FC Nürnberg,2,2,1
1104,2,1967-08-26,Eintracht Braunschweig,1-0,FC Schalke 04,1,0,0
1105,2,1967-08-26,Borussia Dortmund,1-0,Alemannia Aachen,1,0,0
1106,2,1967-08-26,1. FC Köln,1-0,TSV 1860 München,1,0,0
1107,2,1967-08-26,Bayern München,1-0,Hannover 96,1,0,0
1108,2,1967-08-26,Bor. Mönchengladbach,1-1,VfB Stuttgart,1,1,1
1109,2,1967-08-26,Hamburger SV,1-1,1. FC Kaiserslautern,1,1,1
1110,3,1967-09-02,MSV Duisburg,3-1,Borussia Neunkirchen,3,1,0
1111,3,1967-09-02,VfB Stuttgart,0-0,Eintracht Braunschweig,0,0,1
1112,3,1967-09-02,Hannover 96,2-2,Borussia Dortmund,2,2,1
1113,3,1967-09-02,Bayern München,0-3,1. FC Köln,0,3,2
1114,3,1967-09-02,1. FC Nürnberg,4-0,Hamburger SV,4,0,0
1115,3,1967-09-02,Alemannia Aachen,2-1,Karlsruher SC,2,1,0
1116,3,1967-09-02,FC Schalke 04,0-0,TSV 1860 München,0,0,1
1117,3,1967-09-02,1. FC Kaiserslautern,1-1,Eintracht Frankfurt,1,1,1
1118,3,1967-09-02,Werder Bremen,0-4,Bor. Mönchengladbach,0,4,2
1119,4,1967-09-09,Borussia Dortmund,6-3,Bayern München,6,3,0
1120,4,1967-09-09,Karlsruher SC,3-1,Hannover 96,3,1,0
1121,4,1967-09-09,Bor. Mönchengladbach,8-2,1. FC Kaiserslautern,8,2,0
1122,4,1967-09-09,Hamburger SV,1-3,MSV Duisburg,1,3,2
1123,4,1967-09-09,Eintracht Frankfurt,1-2,1. FC Nürnberg,1,2,2
1124,4,1967-09-09,TSV 1860 München,3-3,VfB Stuttgart,3,3,1
1125,4,1967-09-09,1. FC Köln,7-0,FC Schalke 04,7,0,0
1126,4,1967-09-09,Eintracht Braunschweig,0-3,Werder Bremen,0,3,2
1127,4,1967-09-09,Borussia Neunkirchen,0-1,Alemannia Aachen,0,1,2
1128,5,1967-09-13,MSV Duisburg,0-1,Eintracht Frankfurt,0,1,2
1129,5,1967-09-13,Bayern München,3-0,Karlsruher SC,3,0,0
1130,5,1967-09-13,Werder Bremen,2-2,TSV 1860 München,2,2,1
1131,5,1967-09-13,1. FC Nürnberg,1-0,Bor. Mönchengladbach,1,0,0
1132,5,1967-09-13,VfB Stuttgart,2-0,FC Schalke 04,2,0,0
1133,5,1967-09-13,Hannover 96,2-0,Borussia Neunkirchen,2,0,0
1134,5,1967-09-13,1. FC Kaiserslautern,2-2,Eintracht Braunschweig,2,2,1
1135,5,1967-09-13,Borussia Dortmund,2-0,1. FC Köln,2,0,0
1136,5,1967-09-13,Alemannia Aachen,2-0,Hamburger SV,2,0,0
1137,6,1967-09-16,Eintracht Braunschweig,0-3,1. FC Nürnberg,0,3,2
1138,6,1967-09-16,Hamburger SV,2-3,Hannover 96,2,3,2
1139,6,1967-09-16,Eintracht Frankfurt,1-1,Alemannia Aachen,1,1,1
1140,6,1967-09-16,TSV 1860 München,0-3,1. FC Kaiserslautern,0,3,2
1141,6,1967-09-16,Borussia Neunkirchen,1-1,Bayern München,1,1,1
1142,6,1967-09-16,FC Schalke 04,0-2,Werder Bremen,0,2,2
1143,6,1967-09-16,Karlsruher SC,2-0,Borussia Dortmund,2,0,0
1144,6,1967-09-16,1. FC Köln,2-2,VfB Stuttgart,2,2,1
1145,6,1967-09-16,Bor. Mönchengladbach,1-1,MSV Duisburg,1,1,1
1146,7,1967-09-22,MSV Duisburg,2-3,Eintracht Braunschweig,2,3,2
1147,7,1967-09-23,Hannover 96,2-1,Eintracht Frankfurt,2,1,0
1148,7,1967-09-23,Alemannia Aachen,0-0,Bor. Mönchengladbach,0,0,1
1149,7,1967-09-23,1. FC Nürnberg,1-1,TSV 1860 München,1,1,1
1150,7,1967-09-23,Werder Bremen,3-1,VfB Stuttgart,3,1,0
1151,7,1967-09-23,Borussia Dortmund,6-0,Borussia Neunkirchen,6,0,0
1152,7,1967-09-23,Karlsruher SC,0-1,1. FC Köln,0,1,2
1153,7,1967-09-23,Bayern München,1-0,Hamburger SV,1,0,0
1154,7,1967-09-23,1. FC Kaiserslautern,1-0,FC Schalke 04,1,0,0
1155,8,1967-09-30,Eintracht Braunschweig,2-0,Alemannia Aachen,2,0,0
1156,8,1967-09-30,Bor. Mönchengladbach,5-1,Hannover 96,5,1,0
1157,8,1967-09-30,Eintracht Frankfurt,2-3,Bayern München,2,3,2
1158,8,1967-09-30,Hamburger SV,3-2,Borussia Dortmund,3,2,0
1159,8,1967-09-30,Borussia Neunkirchen,3-2,Karlsruher SC,3,2,0
1160,8,1967-09-30,1. FC Köln,1-4,Werder Bremen,1,4,2
1161,8,1967-09-30,FC Schalke 04,0-0,1. FC Nürnberg,0,0,1
1162,8,1967-09-30,TSV 1860 München,0-1,MSV Duisburg,0,1,2
1163,8,1967-10-06,VfB Stuttgart,0-1,1. FC Kaiserslautern,0,1,2
1164,9,1967-10-14,Borussia Neunkirchen,2-1,1. FC Köln,2,1,0
1165,9,1967-10-14,1. FC Kaiserslautern,2-2,Werder Bremen,2,2,1
1166,9,1967-10-14,Karlsruher SC,2-1,Hamburger SV,2,1,0
1167,9,1967-10-14,Alemannia Aachen,3-3,TSV 1860 München,3,3,1
1168,9,1967-10-14,Hannover 96,1-1,Eintracht Braunschweig,1,1,1
1169,9,1967-10-14,MSV Duisburg,1-1,FC Schalke 04,1,1,1
1170,9,1967-10-14,Bayern München,3-1,Bor. Mönchengladbach,3,1,0
1171,9,1967-10-14,1. FC Nürnberg,5-1,VfB Stuttgart,5,1,0
1172,9,1967-10-14,Borussia Dortmund,2-1,Eintracht Frankfurt,2,1,0
1173,10,1967-10-21,Werder Bremen,0-4,1. FC Nürnberg,0,4,2
1174,10,1967-10-21,TSV 1860 München,3-1,Hannover 96,3,1,0
1175,10,1967-10-21,Eintracht Braunschweig,1-0,Bayern München,1,0,0
1176,10,1967-10-21,1. FC Köln,5-0,1. FC Kaiserslautern,5,0,0
1177,10,1967-10-21,Hamburger SV,0-0,Borussia Neunkirchen,0,0,1
1178,10,1967-10-21,VfB Stuttgart,3-0,MSV Duisburg,3,0,0
1179,10,1967-10-21,Bor. Mönchengladbach,2-2,Borussia Dortmund,2,2,1
1180,10,1967-10-21,FC Schalke 04,2-1,Alemannia Aachen,2,1,0
1181,10,1967-10-21,Eintracht Frankfurt,2-0,Karlsruher SC,2,0,0
1182,11,1967-10-28,Hamburger SV,3-1,1. FC Köln,3,1,0
1183,11,1967-10-28,Hannover 96,2-1,FC Schalke 04,2,1,0
1184,11,1967-10-28,Karlsruher SC,3-2,Bor. Mönchengladbach,3,2,0
1185,11,1967-10-28,Alemannia Aachen,3-2,VfB Stuttgart,3,2,0
1186,11,1967-10-28,Borussia Neunkirchen,2-2,Eintracht Frankfurt,2,2,1
1187,11,1967-10-28,1. FC Nürnberg,4-1,1. FC Kaiserslautern,4,1,0
1188,11,1967-10-28,MSV Duisburg,1-1,Werder Bremen,1,1,1
1189,11,1967-10-28,Borussia Dortmund,0-1,Eintracht Braunschweig,0,1,2
1190,11,1967-10-28,Bayern München,2-2,TSV 1860 München,2,2,1
1191,12,1967-11-04,FC Schalke 04,0-1,Bayern München,0,1,2
1192,12,1967-11-04,Eintracht Frankfurt,1-1,Hamburger SV,1,1,1
1193,12,1967-11-04,Eintracht Braunschweig,1-0,Karlsruher SC,1,0,0
1194,12,1967-11-04,Bor. Mönchengladbach,10-0,Borussia Neunkirchen,10,0,0
1195,12,1967-11-04,1. FC Köln,3-3,1. FC Nürnberg,3,3,1
1196,12,1967-11-04,1. FC Kaiserslautern,0-1,MSV Duisburg,0,1,2
1197,12,1967-11-04,TSV 1860 München,3-0,Borussia Dortmund,3,0,0
1198,12,1967-11-04,Werder Bremen,0-1,Alemannia Aachen,0,1,2
1199,12,1967-11-04,VfB Stuttgart,2-0,Hannover 96,2,0,0
1200,13,1967-11-11,Borussia Neunkirchen,1-2,Eintracht Braunschweig,1,2,2
1201,13,1967-11-11,Hamburger SV,2-3,Bor. Mönchengladbach,2,3,2
1202,13,1967-11-11,Borussia Dortmund,2-1,FC Schalke 04,2,1,0
1203,13,1967-11-11,Bayern München,3-1,VfB Stuttgart,3,1,0
1204,13,1967-11-11,Alemannia Aachen,1-1,1. FC Kaiserslautern,1,1,1
1205,13,1967-11-11,MSV Duisburg,2-0,1. FC Nürnberg,2,0,0
1206,13,1967-11-11,Hannover 96,4-2,Werder Bremen,4,2,0
1207,13,1967-11-11,Eintracht Frankfurt,1-2,1. FC Köln,1,2,2
1208,13,1967-11-11,Karlsruher SC,0-3,TSV 1860 München,0,3,2
1209,14,1967-11-18,1. FC Köln,3-0,MSV Duisburg,3,0,0
1210,14,1967-11-18,TSV 1860 München,5-0,Borussia Neunkirchen,5,0,0
1211,14,1967-11-18,1. FC Nürnberg,4-1,Alemannia Aachen,4,1,0
1212,14,1967-11-18,FC Schalke 04,2-0,Karlsruher SC,2,0,0
1213,14,1967-11-18,1. FC Kaiserslautern,0-0,Hannover 96,0,0,1
1214,14,1967-11-18,Bor. Mönchengladbach,1-1,Eintracht Frankfurt,1,1,1
1215,14,1967-11-18,Eintracht Braunschweig,0-1,Hamburger SV,0,1,2
1216,14,1967-11-18,VfB Stuttgart,4-1,Borussia Dortmund,4,1,0
1217,14,1967-11-18,Werder Bremen,4-1,Bayern München,4,1,0
1218,15,1967-11-25,Bayern München,4-1,1. FC Kaiserslautern,4,1,0
1219,15,1967-11-25,Eintracht Frankfurt,2-0,Eintracht Braunschweig,2,0,0
1220,15,1967-11-25,Hannover 96,1-1,1. FC Nürnberg,1,1,1
1221,15,1967-11-25,MSV Duisburg,3-0,Alemannia Aachen,3,0,0
1222,15,1967-11-25,Borussia Dortmund,1-1,Werder Bremen,1,1,1
1223,15,1967-11-25,Hamburger SV,2-2,TSV 1860 München,2,2,1
1224,15,1967-11-25,Borussia Neunkirchen,1-5,FC Schalke 04,1,5,2
1225,15,1967-11-25,Karlsruher SC,1-4,VfB Stuttgart,1,4,2
1226,15,1967-11-25,1. FC Köln,2-5,Bor. Mönchengladbach,2,5,2
1227,16,1967-12-02,FC Schalke 04,3-0,Hamburger SV,3,0,0
1228,16,1967-12-02,TSV 1860 München,5-0,Eintracht Frankfurt,5,0,0
1229,16,1967-12-02,1. FC Kaiserslautern,2-2,Borussia Dortmund,2,2,1
1230,16,1967-12-02,MSV Duisburg,1-2,Hannover 96,1,2,2
1231,16,1967-12-02,Eintracht Braunschweig,2-1,Bor. Mönchengladbach,2,1,0
1232,16,1967-12-02,1. FC Nürnberg,7-3,Bayern München,7,3,0
1233,16,1967-12-02,Werder Bremen,6-1,Karlsruher SC,6,1,0
1234,16,1967-12-02,Alemannia Aachen,4-2,1. FC Köln,4,2,0
1235,17,1967-12-09,Borussia Neunkirchen,0-0,Werder Bremen,0,0,1
1236,17,1967-12-09,1. FC Köln,1-0,Eintracht Braunschweig,1,0,0
1237,17,1967-12-09,Bayern München,0-4,MSV Duisburg,0,4,2
1238,17,1967-12-09,Hannover 96,1-1,Alemannia Aachen,1,1,1
1239,17,1967-12-09,Hamburger SV,1-1,VfB Stuttgart,1,1,1
1240,17,1967-12-09,Eintracht Frankfurt,2-2,FC Schalke 04,2,2,1
1241,17,1967-12-09,Borussia Dortmund,1-2,1. FC Nürnberg,1,2,2
1242,17,1967-12-09,Karlsruher SC,2-2,1. FC Kaiserslautern,2,2,1
1243,17,1967-12-09,Bor. Mönchengladbach,1-1,TSV 1860 München,1,1,1
1244,16,1967-12-16,VfB Stuttgart,2-1,Borussia Neunkirchen,2,1,0
1245,18,1968-01-06,Bayern München,4-1,Alemannia Aachen,4,1,0
1246,18,1968-01-06,Borussia Neunkirchen,2-1,1. FC Kaiserslautern,2,1,0
1247,18,1968-01-06,Karlsruher SC,1-1,1. FC Nürnberg,1,1,1
1248,18,1968-01-06,1. FC Köln,2-1,Hannover 96,2,1,0
1249,18,1968-01-06,Bor. Mönchengladbach,1-6,FC Schalke 04,1,6,2
1250,18,1968-01-06,Borussia Dortmund,4-3,MSV Duisburg,4,3,0
1251,18,1968-01-06,Hamburger SV,2-1,Werder Bremen,2,1,0
1252,19,1968-01-13,Werder Bremen,2-0,Eintracht Frankfurt,2,0,0
1253,19,1968-01-13,Alemannia Aachen,3-0,Borussia Dortmund,3,0,0
1254,19,1968-01-13,Hannover 96,2-1,Bayern München,2,1,0
1255,19,1968-01-13,FC Schalke 04,0-2,Eintracht Braunschweig,0,2,2
1256,19,1968-01-13,MSV Duisburg,2-1,Karlsruher SC,2,1,0
1257,19,1968-01-13,1. FC Nürnberg,3-0,Borussia Neunkirchen,3,0,0
1258,19,1968-01-13,TSV 1860 München,0-1,1. FC Köln,0,1,2
1259,19,1968-01-13,VfB Stuttgart,1-3,Bor. Mönchengladbach,1,3,2
1260,20,1968-01-20,Eintracht Frankfurt,5-2,1. FC Kaiserslautern,5,2,0
1261,20,1968-01-20,Borussia Dortmund,3-1,Hannover 96,3,1,0
1262,20,1968-01-20,Hamburger SV,3-1,1. FC Nürnberg,3,1,0
1263,20,1968-01-20,Borussia Neunkirchen,2-1,MSV Duisburg,2,1,0
1264,20,1968-01-20,Bor. Mönchengladbach,3-1,Werder Bremen,3,1,0
1265,20,1968-01-20,Eintracht Braunschweig,2-1,VfB Stuttgart,2,1,0
1266,20,1968-01-20,1. FC Köln,3-3,Bayern München,3,3,1
1267,20,1968-01-20,TSV 1860 München,1-2,FC Schalke 04,1,2,2
1268,20,1968-01-20,Karlsruher SC,2-4,Alemannia Aachen,2,4,2
1269,21,1968-02-03,1. FC Kaiserslautern,0-1,Bor. Mönchengladbach,0,1,2
1270,21,1968-02-03,MSV Duisburg,1-2,Hamburger SV,1,2,2
1271,21,1968-02-03,1. FC Nürnberg,0-2,Eintracht Frankfurt,0,2,2
1272,21,1968-02-03,Alemannia Aachen,5-1,Borussia Neunkirchen,5,1,0
1273,21,1968-02-03,FC Schalke 04,1-1,1. FC Köln,1,1,1
1274,21,1968-02-03,VfB Stuttgart,2-1,TSV 1860 München,2,1,0
1275,21,1968-02-03,Werder Bremen,3-2,Eintracht Braunschweig,3,2,0
1276,21,1968-02-03,Hannover 96,2-0,Karlsruher SC,2,0,0
1277,22,1968-02-10,1. FC Köln,3-0,Borussia Dortmund,3,0,0
1278,22,1968-02-10,Eintracht Braunschweig,1-0,1. FC Kaiserslautern,1,0,0
1279,22,1968-02-10,FC Schalke 04,2-1,VfB Stuttgart,2,1,0
1280,22,1968-02-10,Eintracht Frankfurt,3-2,MSV Duisburg,3,2,0
1281,22,1968-02-10,Karlsruher SC,0-2,Bayern München,0,2,2
1282,22,1968-02-10,Bor. Mönchengladbach,1-1,1. FC Nürnberg,1,1,1
1283,22,1968-02-10,TSV 1860 München,1-3,Werder Bremen,1,3,2
1284,22,1968-02-10,Hamburger SV,5-1,Alemannia Aachen,5,1,0
1285,22,1968-02-10,Borussia Neunkirchen,3-1,Hannover 96,3,1,0
1286,23,1968-02-17,Borussia Dortmund,5-0,Karlsruher SC,5,0,0
1287,23,1968-02-17,Hannover 96,2-2,Hamburger SV,2,2,1
1288,23,1968-02-17,Alemannia Aachen,2-1,Eintracht Frankfurt,2,1,0
1289,23,1968-02-17,MSV Duisburg,2-2,Bor. Mönchengladbach,2,2,1
1290,23,1968-02-17,1. FC Kaiserslautern,0-0,TSV 1860 München,0,0,1
1291,23,1968-02-17,1. FC Nürnberg,3-1,Eintracht Braunschweig,3,1,0
1292,23,1968-02-17,VfB Stuttgart,2-0,1. FC Köln,2,0,0
1293,23,1968-02-17,Bayern München,4-0,Borussia Neunkirchen,4,0,0
1294,23,1968-02-17,Werder Bremen,2-0,FC Schalke 04,2,0,0
1295,19,1968-02-24,1. FC Kaiserslautern,3-3,Hamburger SV,3,3,1
