Unnamed: 0,matchday,date,home_team,final_result,away_team,home_goals,away_goals,winner,goal_difference,season_start_year,year,total_goals,home_recent_goals_scored_n3,home_recent_goals_conceded_n3,away_recent_goals_scored_n3,away_recent_goals_conceded_n3,home_recent_goals_scored_n5,home_recent_goals_conceded_n5,away_recent_goals_scored_n5,away_recent_goals_conceded_n5,home_recent_goals_scored_n10,home_recent_goals_conceded_n10,away_recent_goals_scored_n10,away_recent_goals_conceded_n10,previous_win,home_team_position,away_team_position,strength_difference,month
67,9,1963-10-26,1. FC Köln,3-3,MSV Duisburg,3,3,1,0,1963,1963,6,9.0,5.0,5.0,7.0,13.0,5.0,9.0,8.0,13.0,5.0,9.0,8.0,0,1.0,5.0,-4.0,10
68,9,1963-10-26,Preussen Münster,0-0,TSV 1860 München,0,0,1,0,1963,1963,0,9.0,6.0,1.0,9.0,10.0,7.0,4.0,12.0,10.0,7.0,4.0,12.0,1,12.0,11.0,1.0,10
69,9,1963-10-26,FC Schalke 04,2-3,Werder Bremen,2,3,2,1,1963,1963,5,6.0,3.0,4.0,8.0,8.0,3.0,4.0,11.0,8.0,3.0,4.0,11.0,0,2.0,9.0,-7.0,10
71,9,1963-10-26,Hamburger SV,2-1,Eintracht Braunschweig,2,1,0,1,1963,1963,3,13.0,1.0,4.0,6.0,17.0,3.0,5.0,7.0,17.0,3.0,5.0,7.0,0,2.0,7.0,-5.0,10
72,10,1963-11-08,Eintracht Braunschweig,1-1,1. FC Köln,1,1,1,0,1963,1963,2,7.0,4.0,7.0,3.0,8.0,4.0,9.0,3.0,8.0,4.0,9.0,3.0,1,5.0,1.0,4.0,11
73,10,1963-11-09,Karlsruher SC,4-2,Preussen Münster,4,2,0,2,1963,1963,6,1.0,10.0,2.0,5.0,2.0,14.0,2.0,6.0,2.0,14.0,2.0,6.0,0,14.0,13.0,1.0,11
74,10,1963-11-09,Borussia Dortmund,3-1,1. FC Nürnberg,3,1,0,2,1963,1963,4,12.0,3.0,8.0,10.0,15.0,6.0,9.0,11.0,15.0,6.0,9.0,11.0,1,3.0,11.0,-8.0,11
75,10,1963-11-09,Eintracht Frankfurt,4-2,FC Schalke 04,4,2,0,2,1963,1963,6,7.0,4.0,7.0,6.0,8.0,5.0,10.0,8.0,8.0,5.0,10.0,8.0,1,9.0,4.0,5.0,11
76,10,1963-11-09,MSV Duisburg,4-0,Hamburger SV,4,0,0,4,1963,1963,4,7.0,4.0,6.0,5.0,10.0,5.0,7.0,6.0,10.0,5.0,7.0,6.0,0,4.0,2.0,2.0,11
77,10,1963-11-09,1. FC Kaiserslautern,1-3,VfB Stuttgart,1,3,2,2,1963,1963,4,4.0,0.0,7.0,6.0,6.0,3.0,7.0,8.0,6.0,3.0,7.0,8.0,0,8.0,5.0,3.0,11
78,10,1963-11-09,TSV 1860 München,7-1,1. FC Saarbrücken,7,1,0,6,1963,1963,8,9.0,3.0,3.0,8.0,10.0,4.0,5.0,12.0,10.0,4.0,5.0,12.0,0,10.0,16.0,-6.0,11
79,10,1963-11-09,Werder Bremen,2-2,Hertha BSC,2,2,1,0,1963,1963,4,7.0,5.0,6.0,13.0,10.0,7.0,6.0,15.0,10.0,7.0,6.0,15.0,1,10.0,15.0,-5.0,11
87,11,1963-11-16,FC Schalke 04,1-0,Hertha BSC,1,0,0,1,1963,1963,1,5.0,5.0,5.0,14.0,10.0,6.0,8.0,17.0,10.0,6.0,8.0,17.0,0,2.0,15.0,-13.0,11
86,11,1963-11-16,1. FC Saarbrücken,1-1,Preussen Münster,1,1,1,0,1963,1963,2,6.0,12.0,2.0,7.0,8.0,16.0,4.0,10.0,8.0,16.0,4.0,10.0,0,16.0,12.0,4.0,11
85,11,1963-11-16,Werder Bremen,4-1,Eintracht Frankfurt,4,1,0,3,1963,1963,5,7.0,5.0,3.0,4.0,12.0,9.0,4.0,10.0,12.0,9.0,4.0,10.0,0,7.0,10.0,-3.0,11
84,11,1963-11-16,TSV 1860 München,1-0,Karlsruher SC,1,0,0,1,1963,1963,1,15.0,1.0,7.0,4.0,17.0,5.0,7.0,10.0,17.0,5.0,7.0,10.0,0,8.0,14.0,-6.0,11
82,11,1963-11-16,Eintracht Braunschweig,0-0,MSV Duisburg,0,0,1,0,1963,1963,0,6.0,5.0,6.0,6.0,9.0,5.0,12.0,11.0,9.0,5.0,12.0,11.0,0,7.0,5.0,2.0,11
81,11,1963-11-16,1. FC Köln,4-1,Hamburger SV,4,1,0,3,1963,1963,5,10.0,6.0,2.0,9.0,16.0,8.0,7.0,10.0,16.0,8.0,7.0,10.0,0,1.0,3.0,-2.0,11
80,11,1963-11-16,Borussia Dortmund,9-3,1. FC Kaiserslautern,9,3,0,6,1963,1963,12,13.0,3.0,9.0,5.0,18.0,7.0,12.0,8.0,18.0,7.0,12.0,8.0,1,2.0,10.0,-8.0,11
83,11,1963-11-16,VfB Stuttgart,1-0,1. FC Nürnberg,1,0,0,1,1963,1963,1,5.0,2.0,6.0,11.0,8.0,3.0,10.0,14.0,8.0,3.0,10.0,14.0,0,3.0,13.0,-10.0,11
93,12,1963-11-23,1. FC Kaiserslautern,2-1,Eintracht Braunschweig,2,1,0,1,1963,1963,3,2.0,3.0,3.0,6.0,7.0,6.0,6.0,9.0,7.0,6.0,6.0,9.0,1,7.0,8.0,-1.0,11
95,12,1963-11-23,Karlsruher SC,1-1,Werder Bremen,1,1,1,0,1963,1963,2,5.0,8.0,7.0,7.0,6.0,16.0,7.0,13.0,6.0,16.0,7.0,13.0,1,14.0,8.0,6.0,11
94,12,1963-11-23,Hertha BSC,3-2,1. FC Saarbrücken,3,2,0,1,1963,1963,5,2.0,8.0,3.0,13.0,5.0,11.0,6.0,19.0,5.0,11.0,6.0,19.0,1,15.0,16.0,-1.0,11
92,12,1963-11-23,Preussen Münster,2-2,FC Schalke 04,2,2,1,0,1963,1963,4,5.0,4.0,7.0,8.0,10.0,7.0,12.0,12.0,10.0,7.0,12.0,12.0,0,12.0,3.0,9.0,11
89,12,1963-11-23,1. FC Nürnberg,2-2,1. FC Köln,2,2,1,0,1963,1963,4,2.0,11.0,5.0,3.0,7.0,13.0,10.0,4.0,7.0,13.0,10.0,4.0,1,13.0,1.0,12.0,11
90,12,1963-11-23,Hamburger SV,1-1,VfB Stuttgart,1,1,1,0,1963,1963,2,12.0,2.0,8.0,5.0,19.0,4.0,10.0,9.0,19.0,4.0,10.0,9.0,0,5.0,3.0,2.0,11
88,12,1963-11-23,MSV Duisburg,3-3,Borussia Dortmund,3,3,1,0,1963,1963,6,10.0,1.0,6.0,4.0,14.0,5.0,9.0,10.0,14.0,5.0,9.0,10.0,0,6.0,2.0,4.0,11
91,12,1963-11-23,Eintracht Frankfurt,5-2,TSV 1860 München,5,2,0,3,1963,1963,7,9.0,3.0,0.0,8.0,12.0,7.0,4.0,12.0,12.0,7.0,4.0,12.0,1,9.0,11.0,-2.0,11
96,13,1963-11-30,FC Schalke 04,2-1,TSV 1860 München,2,1,0,1,1963,1963,3,5.0,5.0,2.0,10.0,9.0,6.0,3.0,14.0,11.0,6.0,6.0,17.0,0,2.0,11.0,-9.0,11
97,13,1963-11-30,Borussia Dortmund,2-3,1. FC Köln,2,3,2,1,1963,1963,5,19.0,6.0,4.0,5.0,24.0,7.0,10.0,6.0,27.0,10.0,12.0,6.0,0,3.0,1.0,2.0,11
98,13,1963-11-30,Eintracht Frankfurt,3-0,Preussen Münster,3,0,0,3,1963,1963,3,11.0,5.0,3.0,8.0,16.0,8.0,5.0,10.0,17.0,9.0,5.0,11.0,0,5.0,12.0,-7.0,11
99,13,1963-11-30,VfB Stuttgart,5-0,Eintracht Braunschweig,5,0,0,5,1963,1963,5,3.0,1.0,4.0,5.0,7.0,3.0,6.0,10.0,9.0,3.0,7.0,11.0,0,2.0,10.0,-8.0,11
100,13,1963-11-30,Werder Bremen,0-3,1. FC Saarbrücken,0,3,2,3,1963,1963,3,10.0,5.0,4.0,13.0,13.0,8.0,6.0,18.0,16.0,10.0,8.0,22.0,0,9.0,16.0,-7.0,11
101,13,1963-11-30,Hertha BSC,2-3,Karlsruher SC,2,3,2,1,1963,1963,5,5.0,7.0,3.0,3.0,7.0,12.0,7.0,7.0,8.0,13.0,7.0,11.0,1,15.0,12.0,3.0,11
102,13,1963-11-30,1. FC Nürnberg,2-0,MSV Duisburg,2,0,0,2,1963,1963,2,2.0,9.0,5.0,5.0,6.0,15.0,8.0,10.0,9.0,15.0,12.0,11.0,0,12.0,7.0,5.0,11
103,13,1963-11-30,1. FC Kaiserslautern,3-2,Hamburger SV,3,2,0,1,1963,1963,5,4.0,4.0,3.0,12.0,7.0,4.0,7.0,13.0,9.0,7.0,8.0,14.0,1,5.0,7.0,-2.0,11
109,14,1963-12-07,1. FC Saarbrücken,0-4,Eintracht Frankfurt,0,4,2,4,1963,1963,4,4.0,8.0,4.0,5.0,9.0,15.0,4.0,11.0,9.0,17.0,5.0,14.0,0,16.0,4.0,12.0,12
110,14,1963-12-07,TSV 1860 München,1-2,Hertha BSC,1,2,2,1,1963,1963,3,13.0,1.0,4.0,10.0,17.0,4.0,8.0,16.0,18.0,5.0,8.0,18.0,1,11.0,15.0,-4.0,12
107,14,1963-12-07,Karlsruher SC,1-1,FC Schalke 04,1,1,1,0,1963,1963,2,5.0,6.0,6.0,6.0,6.0,13.0,11.0,12.0,7.0,17.0,14.0,14.0,0,13.0,2.0,11.0,12
108,14,1963-12-07,Eintracht Braunschweig,2-0,1. FC Nürnberg,2,0,0,2,1963,1963,2,2.0,2.0,1.0,9.0,8.0,5.0,9.0,14.0,9.0,5.0,10.0,15.0,1,9.0,12.0,-3.0,12
105,14,1963-12-07,MSV Duisburg,3-0,VfB Stuttgart,3,0,0,3,1963,1963,3,10.0,4.0,7.0,2.0,14.0,7.0,11.0,8.0,17.0,8.0,11.0,10.0,0,6.0,3.0,3.0,12
104,14,1963-12-07,1. FC Köln,5-1,1. FC Kaiserslautern,5,1,0,4,1963,1963,6,10.0,4.0,12.0,11.0,16.0,9.0,14.0,16.0,20.0,9.0,15.0,17.0,0,1.0,7.0,-6.0,12
106,14,1963-12-07,Preussen Münster,1-3,Werder Bremen,1,3,2,2,1963,1963,4,3.0,4.0,5.0,4.0,11.0,8.0,8.0,11.0,12.0,9.0,8.0,14.0,1,14.0,8.0,6.0,12
119,14,1963-12-21,Hamburger SV,2-1,Borussia Dortmund,2,1,0,1,1963,1963,3,8.0,2.0,6.0,6.0,16.0,3.0,10.0,10.0,20.0,5.0,12.0,13.0,0,5.0,6.0,-1.0,12
111,15,1963-12-14,VfB Stuttgart,0-1,1. FC Köln,0,1,2,1,1963,1963,1,8.0,1.0,6.0,5.0,11.0,2.0,10.0,7.0,14.0,3.0,15.0,8.0,1,3.0,1.0,2.0,12
112,15,1963-12-14,FC Schalke 04,4-1,1. FC Saarbrücken,4,1,0,3,1963,1963,5,5.0,4.0,6.0,10.0,8.0,6.0,8.0,16.0,13.0,7.0,11.0,22.0,0,2.0,16.0,-14.0,12
