home_team,away_team,season_start_year,month,predicted_winner,home_win_prob,draw_prob,away_win_prob
SC Freiburg,Borussia Dortmund,2024,4,2,0.16541655,0.41407642,0.42050707
Werder Bremen,Eintracht Frankfurt,2024,4,2,0.19096796,0.32750797,0.48152402
1. FC Union Berlin,VfL Wolfsburg,2024,4,0,0.4817643,0.39348516,0.12475055
VfL Wolfsburg,RB Leipzig,2024,4,0,0.3373532,0.32911953,0.33352724
Bayern München,Borussia Dortmund,2024,4,2,0.32428083,0.2659024,0.40981674
Eintracht Frankfurt,1. FC Heidenheim,2024,4,1,0.3974969,0.45166597,0.15083714
VfB Stuttgart,Werder Bremen,2024,4,0,0.70136726,0.22345057,0.07518217
Bor. Mönchengladbach,SC Freiburg,2024,4,0,0.4141606,0.40999714,0.17584224
VfL Bochum,FC Augsburg,2024,4,0,0.503159,0.2758586,0.22098243
Bayer 04 Leverkusen,1. FC Union Berlin,2024,4,0,0.4237479,0.22994196,0.3463102
1. FC Union Berlin,VfB Stuttgart,2024,4,2,0.15812024,0.35774428,0.4841355
1. FC Heidenheim,Bayern München,2024,4,2,0.25218114,0.3518752,0.39594364
FC Augsburg,Eintracht Frankfurt,2024,4,2,0.27582994,0.31652462,0.40764546
1. FSV Mainz 05,VfL Wolfsburg,2024,4,1,0.27236146,0.38654116,0.34109735
Borussia Dortmund,Bor. Mönchengladbach,2024,4,0,0.7258802,0.21220733,0.06191245
Werder Bremen,VfL Bochum,2024,4,0,0.63781434,0.23053373,0.13165194
Eintracht Frankfurt,RB Leipzig,2024,4,2,0.30927736,0.31110492,0.37961775
VfB Stuttgart,1. FC Heidenheim,2024,4,0,0.38752523,0.3477707,0.26470405
VfL Wolfsburg,SC Freiburg,2024,4,0,0.38641807,0.3863143,0.22726761
Bayern München,1. FSV Mainz 05,2024,4,1,0.2846334,0.39631328,0.3190533
VfL Bochum,1. FC Union Berlin,2024,4,1,0.33409327,0.4463394,0.21956728
Bayer 04 Leverkusen,FC Augsburg,2024,4,0,0.9198348,0.057153504,0.023011686
SC Freiburg,Bayer 04 Leverkusen,2024,5,2,0.1592657,0.37079948,0.46993482
